H,1.00794,0.00007
He,4.002602,0.000002
Li,6.941,0.002
Be,9.0121831,0.0000003
B,10.811,0.007
C,12.0107,0.0008
N,14.0067,0.0002
O,15.9994,0.0003
F,18.998403163,0.000000006
Ne,20.1797,0.0006
Na,22.98976928,0.00000002
Mg,24.3050,0.0006
Al,26.9815385,0.0000007
Si,28.0855,0.0003
P,30.973761998,0.000000005
S,32.065,0.005
Cl,35.453,0.002
Ar,39.948,0.001
K,39.0983,0.0001
Ca,40.078,0.004
Sc,44.955908,0.000005
Ti,47.867,0.001
V,50.9415,0.0001
Cr,51.9961,0.0006
Mn,54.938044,0.000003
Fe,55.845,0.002
Co,58.933194,0.000004
Ni,58.6934,0.0004
Cu,63.546,0.003
Zn,65.38,0.02
Ga,69.723,0.001
Ge,72.64,0.01
As,74.921595,0.000006
Se,78.971,0.008
Br,79.904,0.001
Kr,83.798,0.002
Rb,85.4678,0.0003
Sr,87.62,0.01
Y,88.90584,0.00002
Zr,91.224,0.002
Nb,92.90637,0.00002
Mo,95.95,0.01
Tc,98.9072,0.0004
Ru,101.07,0.02
Rh,102.90550,0.00002
Pd,106.42,0.01
Ag,107.8682,0.0002
Cd,112.414,0.004
In,114.818,0.003
Sn,118.710,0.007
Sb,121.760,0.001
Te,127.60,0.03
I,126.90447,0.00003
Xe,131.293,0.006
Cs,132.90545196,0.00000006
Ba,137.327,0.007
La,138.90547,0.00007
Ce,140.116,0.001
Pr,140.90766,0.00002
Nd,144.242,0.003
Pm,144.9,0.2
Sm,150.36,0.02
Eu,151.964,0.001
Gd,157.25,0.03
Tb,158.92535,0.00002
Dy,162.500,0.001
Ho,164.93033,0.00002
Er,167.259,0.003
Tm,168.93422,0.00002
Yb,173.054,0.005
Lu,174.9668,0.0001
Hf,178.49,0.02
Ta,180.94788,0.00002
W,183.84,0.01
Re,186.207,0.001
Os,190.23,0.03
Ir,192.217,0.003
Pt,195.084,0.009
Au,196.966569,0.000005
Hg,200.59,0.02
Tl,204.3833,0.0002
Pb,207.2,0.1
Bi,208.98040,0.00001
Th,232.0377,0.0004
Pa,231.03588,0.00002
U,238.02891,0.00003
